Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Power Plug 2,Socket,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:17.903203000",0.003591,57,0xa706,0x0000,147.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.905410000",0.002207,5,,,147.0,,
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:17.944641000",0.039231,53,0x5bb9,0xa706,115.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.946687000",0.002046,5,,,115.0,,
Power Plug 2,Socket,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:17.950240000",0.003553,53,0xa706,0x0000,148.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:17.952318000",0.002078,5,,,148.0,,
Coordinator,Coordinator,Power Plug 2,Socket,Coordinator,Coordinator,Philips Lamp 2,Bulb,"Oct 27, 2023 17:35:18.366130000",0.413812,55,0x0000,0xa706,70.0,0x0000,0x5bb9
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:18.368243000",0.002113,5,,,70.0,,
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:18.379272000",0.011029,55,0x5bb9,0xa706,116.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:18.381384000",0.002112,5,,,116.0,,
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:18.387252000",0.005868,5,,,150.0,,
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:18.427087000",0.039835,50,0x5bb9,0xa706,117.0,0x5bb9,0x0000
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:18.430470000",0.003383,50,0x5bb9,0xa706,117.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:18.432411000",0.001941,5,,,117.0,,
Power Plug 2,Socket,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:18.433110000",0.000699,50,0xa706,0x0000,151.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:18.435092000",0.001982,5,,,151.0,,
Power Plug 2,Socket,Coordinator,Coordinator,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:18.436504000",0.001412,50,0xa706,0x0000,152.0,0x5bb9,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 27, 2023 17:35:18.438487000",0.001983,5,,,152.0,,
Philips Lamp 2,Bulb,Power Plug 2,Socket,Philips Lamp 2,Bulb,Coordinator,Coordinator,"Oct 27, 2023 17:35:18.635131000",0.196644,55,0x5bb9,0xa706,118.0,0x5bb9,0x0000
