Device Name,Device Type,Device Name Destination,Device Type Destination,Device Name ZigBee,Device Type ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Time,Delta Time,Length,Source IEEE,Destination IEEE,Sequence Number,Source ZigBee,Destination ZigBee
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:11:58.582039000",0.002585,45,0x482d,0x0000,79.0,0x482d,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.583862000",0.001823,5,,,79.0,,
Philips Motion,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.586273000",0.002411,59,0xe5c4,0xffff,134.0,0x482d,0xfffc
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,"Oct 13, 2023 18:11:58.603154000",0.016881,90,0x0000,0x482d,97.0,0x0000,0x482d
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.606417000",0.003263,5,,,97.0,,
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:11:58.612639000",0.006222,55,0x482d,0x0000,80.0,0x482d,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.614781000",0.002142,5,,,80.0,,
Philips Lamp 1,Bulb,Broadcast,Broadcast,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.657899000",0.043118,59,0x482d,0xffff,81.0,,
Ledvance Bulb,Bulb,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.660893000",0.002994,59,0x054f,0xffff,95.0,0x482d,0xfffc
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:11:58.663379000",0.002486,65,0x482d,0x0000,82.0,0x482d,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.665842000",0.002463,5,,,82.0,,
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,"Oct 13, 2023 18:11:58.682396000",0.016554,39,0x0000,0x482d,98.0,0x0000,0x482d
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.684027000",0.001631,5,,,98.0,,
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,"Oct 13, 2023 18:11:58.690067000",0.00604,67,0x0000,0x482d,99.0,0x0000,0x482d
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.692594000",0.002527,5,,,99.0,,
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:11:58.697581000",0.004987,55,0x482d,0x0000,83.0,0x482d,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.699724000",0.002143,5,,,83.0,,
Smart Socket,Socket,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.702610000",0.002886,59,0xe694,0xffff,169.0,0x482d,0xfffc
Power Plug 2,Socket,Broadcast,Broadcast,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.731905000",0.029295,59,0xc8f0,0xffff,133.0,,
Ledvance Z3 Plug,Socket,Broadcast,Broadcast,Philips Lamp 1,Bulb,Broadcast,Broadcast,"Oct 13, 2023 18:11:58.741421000",0.009516,59,0x09ac,0xffff,166.0,0x482d,0xfffc
Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,"Oct 13, 2023 18:11:58.748018000",0.006597,48,0x482d,0x0000,84.0,0x482d,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.749937000",0.001919,5,,,84.0,,
Aqara Motion,Motion,Philips Lamp 1,Bulb,Aqara Motion,Motion,Coordinator,Coordinator,"Oct 13, 2023 18:11:58.752476000",0.002539,57,0x9989,0x482d,205.0,0x9989,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.754683000",0.002207,5,,,205.0,,
Philips Lamp 1,Bulb,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,"Oct 13, 2023 18:11:58.759070000",0.004387,57,0x482d,0x0000,85.0,0x9989,0x0000
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.761276000",0.002206,5,,,85.0,,
Coordinator,Coordinator,Philips Lamp 1,Bulb,Coordinator,Coordinator,Philips Lamp 1,Bulb,"Oct 13, 2023 18:11:58.803066000",0.04179,77,0x0000,0x482d,100.0,0x0000,0x482d
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,"Oct 13, 2023 18:11:58.805914000",0.002848,5,,,100.0,,
Philips Lamp 1,Bulb,Coordinator,Coordinator,Aqara Motion,Motion,Coordinator,Coordinator,"Oct 13, 2023 18:11:58.806924000",0.00101,57,0x482d,0x0000,86.0,0x9989,0x0000
