Device Name,Device Type,File Name,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.4,12.739701723352866,0.3555574,0.4987001412089233,238.0,89.0,178.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.8,11.344602240713424,0.3561976,0.4981337539871194,239.0,93.0,208.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,53.0,7.035623639735144,0.144289,0.3150121681578348,239.0,93.0,180.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,49.4,4.929503017546495,0.0037183999999999,0.0015950319119064,240.0,93.0,180.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.2,12.111977542911813,0.1834992,0.4013112558964675,243.0,94.0,210.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.6,11.148990985734988,0.1828224,0.401690410185257,243.0,94.0,182.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.8,11.64903429473877,0.1828615999999999,0.4016686930653172,245.0,94.0,184.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.8,12.557866060760484,0.1830518,0.4015615816107163,245.0,98.0,185.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.6,11.193748255164577,0.182579,0.4018250222304479,245.0,98.0,157.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,8.514693182963201,0.0031685999999999,0.0014043693602467,246.0,98.0,158.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.6,9.813256340277675,0.0035587999999999,0.0010640266444032,246.0,101.0,160.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,52.6,8.61974477580398,0.023967,0.0463971685558504,248.0,101.0,160.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,52.6,8.61974477580398,0.0239668,0.0463972842491885,248.0,102.0,163.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.6,12.973048986263793,0.1797079999999999,0.3392655774957135,250.0,106.0,193.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.0,11.874342087037917,0.2234573999999999,0.32479143522005,254.0,106.0,194.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.0,11.874342087037917,0.2231358,0.3250643889488665,254.0,116.0,197.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.2,14.788509052639483,0.2716206,0.3214624515807406,254.0,0.0,147.6
