Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Philips Motion,Bulb,"Oct 16, 2023 13:55:48.962887",1.157061,74,0xe5c4,0xffff,0x8841,169.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:55:50.696068",1.733181,74,0x0000,0xffff,0x8841,33.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 13:55:51.999048",1.30298,74,0x09ac,0xffff,0x8841,0.0,0x09ac,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:55:54.690388",2.69134,68,0x6e5f,0xffff,0x8841,42.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:55:55.904763",1.214375,74,0xe694,0xffff,0x8841,1.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:55:58.834993",2.93023,68,0xc8f0,0xffff,0x8841,72.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:56:00.095841",1.260848,74,0x82eb,0xffff,0x8841,132.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:56:01.193790",0.002554,54,0x482d,0x6e5f,0x8861,176.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:56:01.242766",0.001948,107,0x6e5f,0x0040,0x886b,45.0,,,,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:56:01.304772",0.000454,52,0x6e5f,0xc8f0,0x8861,48.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:56:01.308564",0.001777,45,0x482d,0x6e5f,0x8861,179.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:56:01.312668",0.004104,45,0x482d,0x6e5f,0x8861,179.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:56:01.347803",0.002071,45,0x482d,0x6e5f,0x8861,182.0,,,,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:56:01.351688",0.003885,45,0x482d,0x6e5f,0x8861,182.0,,,,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:56:01.966604",0.602514,65,0xebe5,0xffff,0x8841,185.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:56:03.681938",1.715334,74,0x482d,0xffff,0x8841,183.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Bulb,Bulb,"Oct 16, 2023 13:56:04.572017",0.890079,74,0x054f,0xffff,0x8841,190.0,0x054f,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:56:05.697471",1.125454,74,0x0000,0xffff,0x8841,47.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Philips Motion,Bulb,"Oct 16, 2023 13:56:06.496692",0.589913,74,0xe5c4,0xffff,0x8841,170.0,0xe5c4,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 1,Socket,"Oct 16, 2023 13:56:09.708078",3.211386,68,0x6e5f,0xffff,0x8841,51.0,0x6e5f,0xfffc,0x1209,,,scenario1.pcapng
Smart Socket,Socket,"Oct 16, 2023 13:56:10.897489",1.189411,74,0xe694,0xffff,0x8841,7.0,0xe694,0xfffc,0x1209,,,scenario1.pcapng
Power Plug 2,Socket,"Oct 16, 2023 13:56:13.837046",2.939557,68,0xc8f0,0xffff,0x8841,75.0,0xc8f0,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Smart+ Plug,Socket,"Oct 16, 2023 13:56:15.093925",1.256879,74,0x82eb,0xffff,0x8841,133.0,0x82eb,0xfffc,0x1209,,,scenario1.pcapng
Moes Bulb,Bulb,"Oct 16, 2023 13:56:16.933846",1.839921,65,0xebe5,0xffff,0x8841,186.0,0xebe5,0xfffc,0x1209,,,scenario1.pcapng
Philips Lamp 1,Bulb,"Oct 16, 2023 13:56:19.464164",2.530318,74,0x482d,0xffff,0x8841,184.0,0x482d,0xfffc,0x1209,,,scenario1.pcapng
Coordinator,Coordinator,"Oct 16, 2023 13:56:20.318039",0.853875,74,0x0000,0xffff,0x8841,50.0,0x0000,0xfffc,0x1209,,,scenario1.pcapng
Ledvance Z3 Plug,Socket,"Oct 16, 2023 13:56:20.939653",0.621614,98,0x09ac,0xffff,0x8862,2.0,,,,,,scenario1.pcapng
