File Name,Original Size (KB),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB)
Topology_B_fix_duration_5s_index_b42.npy,12423.908203125,1831.724609375,1920.3623046875,1224.49609375,1633.8134765625,2781.3212890625,1200.4599609375,2287.251953125,2284.5263671875,1542.4814453125,2560.2744140625,7724.685357746907,3862.3426788734537,5397.186909247019
Topology_A_fix_duration_5s_index_b61.npy,8440.822265625,1482.138671875,1650.85546875,1111.47265625,1426.20703125,1999.06640625,1095.9228515625,1726.654296875,1724.9130859375,1292.685546875,1872.54296875,6579.210152111113,3289.6050760555563,4346.843325063402
Topology_B_fix_duration_5s_index_b61.npy,12423.908203125,2173.2119140625,2423.4453125,1572.24609375,1998.802734375,2911.6171875,1561.8310546875,2470.859375,2467.8974609375,1827.08203125,2729.3759765625,9892.979113553525,4946.489556776763,6753.522362469295
Topology_A_fix_duration_5s_index_b46.npy,8440.822265625,1334.41015625,1413.87890625,944.0625,1252.4990234375,1928.4130859375,929.841796875,1630.3837890625,1628.525390625,1136.7314453125,1811.51171875,5574.760664970049,2787.3803324850246,3737.9698356564977
Topology_A_fix_duration_5s_index_b23.npy,4241.091796875,736.9853515625,781.48828125,525.2578125,714.7568359375,1078.119140625,522.986328125,972.0283203125,971.0869140625,659.8408203125,1022.4033203125,2766.8889937041413,1383.4444968520706,2029.269862700231
Topology_A_fix_duration_5s_index_b63.npy,8440.822265625,1470.6748046875,1645.125,1108.51953125,1426.9453125,1985.078125,1092.3671875,1715.890625,1714.2001953125,1279.484375,1861.4814453125,6423.823650136961,3211.9118250684805,4436.692528564945
Topology_A_fix_duration_5s_index_b49.npy,8440.822265625,1369.72265625,1485.447265625,984.13671875,1302.7060546875,1935.3076171875,981.125,1647.578125,1645.736328125,1167.892578125,1817.8310546875,5754.757626144679,2877.3788130723397,3954.582596333681
Topology_A_fix_duration_5s_index_b48.npy,8440.822265625,1354.794921875,1453.4345703125,963.83984375,1286.9326171875,1932.0673828125,965.078125,1639.4296875,1637.6533203125,1148.076171875,1812.34765625,5639.615990143379,2819.8079950716897,3887.4437538118045
Topology_B_fix_duration_5s_index_b59.npy,12423.908203125,2173.5185546875,2411.7509765625,1569.0234375,2001.6201171875,2909.046875,1560.833984375,2471.255859375,2468.5576171875,1827.5380859375,2720.3017578125,9940.505398181367,4970.252699090684,6706.679787431733
Topology_A_fix_duration_5s_index_b58.npy,8440.822265625,1472.2333984375,1637.19921875,1105.80078125,1424.7294921875,1986.78125,1092.4345703125,1721.0546875,1719.2568359375,1287.095703125,1862.986328125,6534.832331259233,3267.4161656296164,4349.089226367741
Topology_A_fix_duration_5s_index_b43.npy,8440.822265625,1280.4541015625,1347.0400390625,891.46875,1202.1298828125,1926.58984375,868.5439453125,1606.0634765625,1604.3291015625,1114.447265625,1793.369140625,5366.396851964309,2683.1984259821543,3544.9181758834056
Topology_A_fix_duration_5s_index_b57.npy,8440.822265625,1463.7353515625,1633.3779296875,1099.83984375,1422.509765625,1977.78125,1087.6943359375,1715.4658203125,1713.6630859375,1277.466796875,1858.3359375,6430.538579203321,3215.2692896016606,4395.073557612238
Topology_B_fix_duration_5s_index_b38.npy,12423.908203125,1720.4462890625,1771.001953125,1137.68359375,1549.3271484375,2660.7255859375,1105.4287109375,2222.8291015625,2219.8828125,1475.8193359375,2405.7392578125,7211.211877873109,3605.6059389365546,4970.154593709677
Topology_A_fix_duration_5s_index_b53.npy,8440.822265625,1432.7138671875,1591.9150390625,1059.5078125,1372.95703125,1960.6845703125,1040.158203125,1689.609375,1687.67578125,1242.7197265625,1839.83203125,6261.474083230627,3130.7370416153135,4215.075350775011
Topology_B_fix_duration_5s_index_b49.npy,12423.908203125,2007.654296875,2171.865234375,1384.71875,1806.9287109375,2817.7216796875,1378.5517578125,2354.24609375,2351.4443359375,1644.826171875,2640.634765625,8660.74043082239,4330.370215411195,6138.46621808567
Topology_B_fix_duration_5s_index_b4.npy,1606.1806640625,169.578125,138.2158203125,114.46875,166.162109375,354.9453125,119.7470703125,299.255859375,298.853515625,175.619140625,327.013671875,625.9877230056945,312.99386150284727,567.8632327937785
Topology_B_fix_duration_5s_index_b23.npy,6242.349609375,1047.021484375,1114.033203125,725.5078125,1007.4248046875,1533.037109375,722.720703125,1360.640625,1359.3388671875,915.1435546875,1449.330078125,4130.73571618468,2065.36785809234,3057.7044704544624
Topology_B_fix_duration_5s_index_b32.npy,6242.349609375,1215.1181640625,1384.7607421875,929.59765625,1165.234375,1619.6484375,921.95703125,1459.89453125,1458.529296875,1102.19921875,1523.966796875,5221.985489814062,2610.992744907031,3497.4385066447644
Topology_A_fix_duration_5s_index_b25.npy,4241.091796875,761.9541015625,851.7060546875,565.0,744.0078125,1087.052734375,568.203125,986.46875,985.53515625,685.455078125,1034.3017578125,2913.5392996916044,1456.7696498458022,2145.4658233812793
Topology_A_fix_duration_5s_index_b37.npy,8440.822265625,1168.6318359375,1197.2705078125,797.1640625,1115.3916015625,1822.416015625,772.1240234375,1530.3037109375,1528.4306640625,1037.228515625,1655.408203125,4741.6637582553685,2370.8318791276843,3150.222955959391
Topology_B_fix_duration_5s_index_b8.npy,1606.1806640625,330.0185546875,319.9072265625,242.08203125,292.4755859375,460.78515625,250.1552734375,419.1875,418.9013671875,309.1484375,441.0771484375,1200.2000955742856,600.1000477871428,851.6825373257074
Topology_A_fix_duration_5s_index_b19.npy,4241.091796875,684.078125,665.291015625,461.13671875,666.47265625,1055.0,448.3525390625,933.0849609375,932.2060546875,610.5986328125,996.1865234375,2469.491807818746,1234.745903909373,1754.7160856507894
Topology_B_fix_duration_5s_index_b9.npy,3151.5703125,477.654296875,405.0498046875,278.9296875,407.8955078125,777.341796875,294.33203125,679.287109375,678.6689453125,415.6328125,730.271484375,1571.6019695761713,785.8009847880857,1372.4957662958918
