Device Name,Device Type,Time,Delta Time,Length,Source IEEE,Destination IEEE,FCF IEEE,Sequence Number,Source Zigbee,Destination Zigbee,FCF Zigbee,Payload Length,Extended Source,File
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:40.468655",0.003134,57,0xec7f,0x0000,0x8861,75.0,0x059b,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:40.470862",0.002207,5,,,0x0002,75.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:14:40.472967",0.002105,12,0x059b,0xec7f,0x8863,7.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:40.473721",0.000754,5,,,0x0002,7.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:40.510712",,52,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:40.512759",0.002047,5,,,0x0002,76.0,,,,,,physicalInteraction1.pcapng
Coordinator,Coordinator,"Oct 28, 2023 13:14:40.552899",,54,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:40.554996",0.002097,5,,,0x0002,64.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:14:42.006584",1.451588,12,0x059b,0xec7f,0x8863,8.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:42.007338",0.000754,5,,,0x0012,8.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:42.008991",,50,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:42.010977",0.001986,5,,,0x0002,77.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:14:42.013227",0.00225,12,0x059b,0xec7f,0x8863,9.0,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:42.013980",0.000753,5,,,0x0002,9.0,,,,,,physicalInteraction1.pcapng
Philips Motion,Motion,"Oct 28, 2023 13:14:42.021964",,45,,,,,,,,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:42.023773",0.001809,5,,,0x0002,10.0,,,,,,physicalInteraction1.pcapng
Ledvance Bulb,Bulb,"Oct 28, 2023 13:14:42.027895",0.004122,57,0xec7f,0x0000,0x8861,78.0,0x059b,0x0000,0x1a09,,,physicalInteraction1.pcapng
Unknown,Unknown,"Oct 28, 2023 13:14:42.030102",0.002207,5,,,0x0002,78.0,,,,,,physicalInteraction1.pcapng
